transaction_id,account_id,transaction_date,transaction_time,amount,merchant_name,merchant_category,location,card_present,fraud_type,risk_score
TXN000022,ACC98766,2025-10-28,08:18:13,1838.04,Electronics Express,Electronics,Madrid Spain,false,skimming_attack,98
TXN000023,ACC66947,2025-10-23,14:32:40,6538.49,SuperMart Online,Retail,Moscow Russia,false,counterfeit_merchant,98
TXN000024,ACC91626,2025-11-13,04:54:59,122.45,Money Transfer Plus,Financial Services,Cairo Egypt,false,recurring_fraud,98
TXN000025,ACC34681,2025-10-15,00:57:34,5996.84,Casino Royal,Gambling,Moscow Russia,true,account_takeover,82
TXN000026,ACC98315,2025-11-13,13:59:50,1151.75,Casino Royal,Gambling,Buenos Aires Argentina,false,friendly_fraud,99
TXN000027,ACC93136,2025-11-04,10:29:50,4406.54,Bitcoin Hub,Cryptocurrency,Paris France,false,card_not_present,88
TXN000028,ACC27936,2025-10-23,14:49:06,1703.00,Finance Direct,Financial Services,Tokyo Japan,false,phishing_scam,87
TXN000029,ACC91390,2025-10-30,13:13:14,978.92,Tech Haven,Electronics,Chicago IL USA,false,account_takeover,83
TXN000030,ACC73855,2025-11-08,12:45:24,1946.88,International Wire Transfer,Financial Services,Melbourne Australia,false,recurring_fraud,99
TXN000031,ACC52312,2025-11-14,22:00:15,489.25,SuperMart Online,Retail,Paris France,false,card_testing,92
TXN000032,ACC60155,2025-11-02,00:42:57,4774.94,Digital World,Electronics,Toronto Canada,false,friendly_fraud,95
TXN000033,ACC77880,2025-10-27,17:12:12,249.39,Finance Direct,Financial Services,Melbourne Australia,false,unauthorized_transaction,88
TXN000034,ACC63155,2025-10-20,17:12:28,1512.56,Hotel Booking Express,Travel,Rome Italy,false,synthetic_identity,99
TXN000035,ACC72521,2025-11-04,12:36:18,2469.76,Travel Agency Pro,Travel,Lagos Nigeria,false,wire_fraud,88
TXN000036,ACC73249,2025-11-11,09:53:12,935.41,Airline Tickets Global,Travel,Seoul South Korea,false,recurring_fraud,91
TXN000037,ACC16821,2025-11-03,16:32:59,715.73,Global Payments,Financial Services,Buenos Aires Argentina,false,identity_theft,74
TXN000038,ACC75363,2025-10-15,12:03:39,2159.07,Airline Tickets Global,Travel,So Paulo Brazil,false,skimming_attack,95
TXN000039,ACC86606,2025-11-11,17:30:02,1458.50,Gold & Gems,Jewelry,Toronto Canada,true,phishing_scam,99
TXN000040,ACC96458,2025-11-12,03:45:17,502.45,Hotel Booking Express,Travel,Moscow Russia,false,stolen_card,94
TXN000041,ACC18172,2025-11-10,08:21:12,388.28,Web Services Plus,Online Services,London UK,false,duplicate_location,90
TXN000042,ACC40167,2025-10-23,15:59:19,424.28,SuperMart Online,Retail,Berlin Germany,false,phishing_scam,89
TXN000043,ACC52539,2025-11-05,20:37:51,458.10,International Wire Transfer,Financial Services,Moscow Russia,true,wire_fraud,95
TXN000044,ACC34909,2025-11-12,06:40:08,1574.98,Subscription Services Pro,Online Services,Sydney Australia,false,duplicate_location,79
TXN000045,ACC55290,2025-10-18,06:50:07,1906.01,Gadget Store,Electronics,Beijing China,false,card_testing,97
TXN000046,ACC81399,2025-10-28,11:58:33,395.87,Money Withdrawal,Cash,Paris France,false,recurring_fraud,90
TXN000047,ACC56450,2025-11-07,03:31:13,410.76,Retail Galaxy,Retail,Cairo Egypt,true,card_not_present,98
TXN000048,ACC81209,2025-10-17,16:19:27,1437.23,Retail Galaxy,Retail,London UK,false,account_takeover,98
TXN000049,ACC64397,2025-10-23,16:01:45,1476.48,Global Payments,Financial Services,Buenos Aires Argentina,false,identity_theft,70
TXN000050,ACC21906,2025-11-02,08:12:11,2135.14,Digital Platform,Online Services,Tokyo Japan,false,chargeback_fraud,87
TXN000051,ACC89740,2025-11-14,03:29:01,889.72,SuperMart Online,Retail,Toronto Canada,false,card_testing,84
TXN000052,ACC82878,2025-10-27,18:10:37,426.92,Luxury Watches Ltd,Jewelry,Lagos Nigeria,false,account_takeover,91
TXN000053,ACC86556,2025-11-05,06:38:49,9574.25,Casino Royal,Gambling,Vancouver Canada,true,chargeback_fraud,97
TXN000054,ACC38986,2025-11-04,09:57:10,1230.06,SuperMart Online,Retail,Chicago IL USA,false,friendly_fraud,70
TXN000055,ACC91719,2025-10-26,18:55:12,1347.58,Cash Advance,Cash,Singapore,false,stolen_card,96
TXN000056,ACC13083,2025-10-30,03:37:36,72.43,Trendy Wear,Fashion,London UK,false,wire_fraud,87
TXN000057,ACC19590,2025-11-04,18:17:11,1014.02,Retail Galaxy,Retail,Beijing China,false,card_testing,99
TXN000058,ACC80260,2025-10-23,04:27:21,1062.95,Trendy Wear,Fashion,Lagos Nigeria,false,synthetic_identity,93
TXN000059,ACC45026,2025-11-12,19:29:41,1949.89,Trendy Wear,Fashion,Los Angeles CA USA,false,synthetic_identity,93
TXN000060,ACC84916,2025-10-23,15:58:02,1142.73,Retail Galaxy,Retail,New York NY USA,false,recurring_fraud,82
TXN000061,ACC39026,2025-11-07,08:25:15,1464.58,Lucky Games Online,Gambling,Paris France,false,unauthorized_transaction,96
TXN000062,ACC48887,2025-11-06,18:26:26,3693.31,Trendy Wear,Fashion,Chicago IL USA,false,counterfeit_merchant,91
TXN000063,ACC35992,2025-10-16,01:27:35,3275.09,Electronics Express,Electronics,Mexico City Mexico,false,synthetic_identity,89
TXN000064,ACC48532,2025-11-03,02:01:09,284.15,Airline Tickets Global,Travel,Berlin Germany,false,friendly_fraud,93
TXN000065,ACC35418,2025-11-12,04:39:53,885.20,ATM Withdrawal,Cash,Buenos Aires Argentina,false,identity_theft,89
TXN000066,ACC90483,2025-11-10,03:49:21,1836.86,Tech Haven,Electronics,Beijing China,false,wire_fraud,99
TXN000067,ACC99958,2025-10-30,03:27:26,1856.75,Shopping Express,Retail,Singapore,false,skimming_attack,91
TXN000068,ACC34791,2025-11-07,07:39:29,1382.29,Digital World,Electronics,Chicago IL USA,false,stolen_card,99
TXN000069,ACC94552,2025-11-10,11:34:09,822.02,Trendy Wear,Fashion,Nairobi Kenya,true,card_not_present,86
TXN000070,ACC58051,2025-10-20,00:58:55,984.48,Money Withdrawal,Cash,Tokyo Japan,false,card_testing,93
TXN000071,ACC43558,2025-10-25,13:59:17,8211.45,Bet Palace,Gambling,New York NY USA,false,friendly_fraud,90
TXN000072,ACC19324,2025-10-21,18:44:02,591.78,Bet Palace,Gambling,Beijing China,false,chargeback_fraud,99
TXN000073,ACC98029,2025-11-06,03:24:58,7881.45,SuperMart Online,Retail,Madrid Spain,false,chargeback_fraud,95
TXN000074,ACC10896,2025-10-22,17:01:46,1065.66,Money Withdrawal,Cash,Mexico City Mexico,true,recurring_fraud,88
TXN000075,ACC40258,2025-11-09,00:32:22,1222.04,Global Payments,Financial Services,Hong Kong,false,unauthorized_transaction,85
TXN000076,ACC70850,2025-10-15,15:53:49,143.17,Hotel Booking Express,Travel,Nairobi Kenya,true,card_testing,94
TXN000077,ACC69094,2025-11-10,02:02:12,1315.88,Shopping Express,Retail,Moscow Russia,false,recurring_fraud,88
TXN000078,ACC43237,2025-10-18,10:27:18,1151.06,Cash Advance,Cash,Vancouver Canada,false,duplicate_location,89
TXN000079,ACC97960,2025-10-30,17:06:51,5653.64,Cloud Services,Online Services,Berlin Germany,false,friendly_fraud,91
TXN000080,ACC57689,2025-11-09,02:57:35,5618.73,Cash Advance,Cash,Rome Italy,false,recurring_fraud,91
TXN000081,ACC73272,2025-11-11,08:01:43,968.32,Style Boutique,Fashion,Dubai UAE,false,phishing_scam,93
TXN000082,ACC24490,2025-10-28,01:50:40,431.60,Subscription Services Pro,Online Services,Madrid Spain,false,card_not_present,95
TXN000083,ACC89955,2025-10-20,01:09:22,746.35,Tech Haven,Electronics,Cairo Egypt,false,stolen_card,98
TXN000084,ACC35813,2025-11-09,13:53:52,426.26,Luxury Fashion,Fashion,So Paulo Brazil,false,skimming_attack,91
TXN000085,ACC43728,2025-10-15,21:37:23,794.27,Airline Tickets Global,Travel,Nairobi Kenya,false,recurring_fraud,85
TXN000086,ACC67142,2025-10-29,14:39:14,1859.08,Bitcoin Hub,Cryptocurrency,Singapore,false,card_testing,85
TXN000087,ACC32482,2025-11-07,12:50:54,3103.52,ATM Withdrawal,Cash,Paris France,false,stolen_card,97
TXN000088,ACC91840,2025-11-10,02:32:48,218.76,Finance Direct,Financial Services,Chicago IL USA,false,duplicate_location,89
TXN000089,ACC60908,2025-11-03,15:07:09,504.42,SuperMart Online,Retail,Tokyo Japan,false,wire_fraud,95
TXN000090,ACC28252,2025-11-06,11:14:59,1940.63,Shopping Express,Retail,Lagos Nigeria,false,card_not_present,96
TXN000091,ACC78448,2025-11-11,15:03:27,294.85,Gold & Gems,Jewelry,Toronto Canada,false,identity_theft,98
TXN000092,ACC28805,2025-10-23,16:27:57,4533.40,Digital Platform,Online Services,Madrid Spain,false,unauthorized_transaction,95
TXN000093,ACC10466,2025-10-31,14:49:21,8224.80,Cloud Services,Online Services,Mumbai India,false,counterfeit_merchant,77
TXN000094,ACC52855,2025-10-17,08:09:05,1893.25,Electronics Express,Electronics,Lagos Nigeria,false,identity_theft,99
TXN000095,ACC17257,2025-11-01,07:54:16,804.70,SuperMart Online,Retail,London UK,false,recurring_fraud,88
TXN000096,ACC32465,2025-11-02,12:35:05,1627.22,Online Casino Games,Gambling,Sydney Australia,true,account_takeover,86
TXN000097,ACC49344,2025-10-24,16:57:50,9688.24,SuperMart Online,Retail,New York NY USA,false,phishing_scam,75
TXN000098,ACC74493,2025-10-30,12:48:04,5634.13,Gadget Store,Electronics,Malta,false,account_takeover,94
TXN000099,ACC34255,2025-11-04,13:12:42,1387.26,SuperMart Online,Retail,Los Angeles CA USA,false,card_not_present,81
TXN000100,ACC22784,2025-10-17,03:08:54,9318.80,Digital Platform,Online Services,Singapore,true,stolen_card,96
TXN000101,ACC26294,2025-11-14,17:16:59,1954.22,Money Transfer Plus,Financial Services,Vancouver Canada,false,account_takeover,75
TXN000102,ACC42043,2025-10-25,22:35:45,1079.03,Trendy Wear,Fashion,Hong Kong,false,synthetic_identity,81
TXN000103,ACC86975,2025-10-30,00:13:18,974.63,Retail Galaxy,Retail,Mumbai India,true,friendly_fraud,72
TXN000104,ACC67021,2025-10-27,22:32:43,1049.60,Gadget Store,Electronics,Cairo Egypt,true,chargeback_fraud,83
TXN000105,ACC14828,2025-11-02,19:36:13,316.80,Precious Stones Co,Jewelry,Houston TX USA,false,card_testing,86
TXN000106,ACC32585,2025-11-06,01:53:08,426.43,Casino Royal,Gambling,Paris France,false,unauthorized_transaction,96
TXN000107,ACC67325,2025-10-31,00:44:37,7739.29,ATM Withdrawal,Cash,So Paulo Brazil,false,unauthorized_transaction,96
TXN000108,ACC26537,2025-10-28,09:33:12,53.82,Precious Stones Co,Jewelry,Rome Italy,true,wire_fraud,85
TXN000109,ACC73586,2025-10-26,09:01:20,6914.95,International Wire Transfer,Financial Services,Madrid Spain,false,card_testing,93
TXN000110,ACC73382,2025-11-07,04:46:41,8537.55,Retail Galaxy,Retail,Melbourne Australia,false,counterfeit_merchant,87
TXN000111,ACC68214,2025-10-26,13:15:20,1541.18,Luxury Fashion,Fashion,Seoul South Korea,true,account_takeover,91
TXN000112,ACC47169,2025-11-10,13:06:52,663.12,ATM Withdrawal,Cash,Nairobi Kenya,false,wire_fraud,95
TXN000113,ACC90412,2025-11-02,23:46:27,1678.52,Cash Advance,Cash,Lagos Nigeria,false,recurring_fraud,97
TXN000114,ACC66330,2025-11-09,17:20:43,8245.34,Airline Tickets Global,Travel,Seoul South Korea,false,stolen_card,85
TXN000115,ACC92952,2025-10-20,03:35:44,3252.45,Fashion Elite,Fashion,Toronto Canada,false,friendly_fraud,96
TXN000116,ACC86776,2025-11-11,11:09:43,1488.75,Trendy Wear,Fashion,Mumbai India,false,skimming_attack,88
TXN000117,ACC23375,2025-10-18,13:21:00,2185.67,Crypto Exchange Max,Cryptocurrency,Dubai UAE,false,account_takeover,86
TXN000118,ACC22497,2025-10-31,07:59:26,7467.75,Gold & Gems,Jewelry,Berlin Germany,false,account_takeover,98
TXN000119,ACC94553,2025-10-28,09:43:37,1527.09,SuperMart Online,Retail,Paris France,false,stolen_card,86
TXN000120,ACC80841,2025-11-12,22:34:17,1950.39,Travel Agency Pro,Travel,Beijing China,true,wire_fraud,92
TXN000121,ACC25954,2025-11-08,06:16:11,9416.43,Airline Tickets Global,Travel,New York NY USA,false,friendly_fraud,97
TXN000122,ACC56873,2025-11-13,04:49:57,240.49,Luxury Fashion,Fashion,Mumbai India,true,wire_fraud,77
TXN000123,ACC23070,2025-11-05,02:47:05,665.49,Tech Gadgets Pro,Electronics,Dubai UAE,false,card_testing,98
TXN000124,ACC70383,2025-11-08,21:30:20,73.45,Luxury Watches Ltd,Jewelry,Paris France,false,counterfeit_merchant,88
TXN000125,ACC12711,2025-11-01,19:26:54,1346.26,Premium Electronics,Electronics,Berlin Germany,false,synthetic_identity,92
TXN000126,ACC30340,2025-10-29,02:17:41,345.98,International Wire Transfer,Financial Services,Tokyo Japan,false,unauthorized_transaction,99
TXN000127,ACC38946,2025-11-12,15:17:47,8194.04,Cloud Services,Online Services,Vancouver Canada,false,stolen_card,87
TXN000128,ACC66499,2025-11-10,17:23:39,1702.25,International Wire Transfer,Financial Services,Rome Italy,false,stolen_card,87
TXN000129,ACC45675,2025-10-16,16:16:14,595.23,Crypto Market Pro,Cryptocurrency,Rome Italy,false,synthetic_identity,95
TXN000130,ACC12914,2025-10-19,08:01:11,450.93,Luxury Fashion,Fashion,London UK,false,chargeback_fraud,90
TXN000131,ACC59156,2025-11-08,21:41:04,4684.05,Precious Stones Co,Jewelry,Tokyo Japan,false,unauthorized_transaction,91
TXN000132,ACC90292,2025-11-02,20:29:39,752.32,SuperMart Online,Retail,Los Angeles CA USA,false,identity_theft,98
TXN000133,ACC37968,2025-11-07,03:22:43,4954.97,SuperMart Online,Retail,Chicago IL USA,true,synthetic_identity,87
TXN000134,ACC56938,2025-11-05,13:35:34,6758.40,Premium Electronics,Electronics,Toronto Canada,false,duplicate_location,99
TXN000135,ACC22355,2025-10-17,16:38:11,162.60,Gold & Gems,Jewelry,Paris France,false,stolen_card,97
TXN000136,ACC16768,2025-11-08,14:43:19,1666.67,Electronics Express,Electronics,Hong Kong,false,card_not_present,97
TXN000137,ACC39253,2025-11-08,14:31:34,9737.56,Crypto Market Pro,Cryptocurrency,Dubai UAE,false,unauthorized_transaction,94
TXN000138,ACC54576,2025-11-08,06:55:34,1557.09,Trendy Wear,Fashion,Vancouver Canada,false,skimming_attack,88
TXN000139,ACC16896,2025-10-16,00:58:27,4031.71,Lucky Games Online,Gambling,Moscow Russia,false,unauthorized_transaction,88
TXN000140,ACC34623,2025-10-23,14:45:01,937.03,Web Services Plus,Online Services,Cairo Egypt,false,card_not_present,98
TXN000141,ACC74697,2025-11-07,19:34:23,210.14,Style Boutique,Fashion,Los Angeles CA USA,false,friendly_fraud,92
TXN000142,ACC97943,2025-11-14,12:55:28,4434.15,Bet Palace,Gambling,Houston TX USA,false,identity_theft,89
TXN000143,ACC25456,2025-11-06,06:04:00,550.53,Crypto Exchange Max,Cryptocurrency,New York NY USA,false,duplicate_location,88
TXN000144,ACC95920,2025-11-04,18:01:06,208.25,Money Withdrawal,Cash,Cairo Egypt,false,phishing_scam,93
TXN000145,ACC64303,2025-10-22,01:11:18,1363.67,Cash Advance,Cash,Seoul South Korea,false,wire_fraud,88
TXN000146,ACC69530,2025-10-18,05:57:01,444.61,Shopping Express,Retail,Cairo Egypt,false,unauthorized_transaction,78
TXN000147,ACC11059,2025-11-04,15:17:21,694.63,ATM Withdrawal,Cash,Beijing China,false,card_not_present,73
TXN000148,ACC64251,2025-10-15,18:20:06,933.49,Online Casino Games,Gambling,Malta,false,identity_theft,86
TXN000149,ACC68297,2025-11-13,10:03:05,3896.59,Travel Agency Pro,Travel,Beijing China,false,identity_theft,88
TXN000150,ACC23138,2025-10-31,22:51:11,1811.48,Money Withdrawal,Cash,Rome Italy,false,stolen_card,89
TXN000151,ACC24025,2025-11-09,01:35:58,104.25,Hotel Booking Express,Travel,Mexico City Mexico,false,counterfeit_merchant,95
TXN000152,ACC46750,2025-10-16,10:05:36,1021.49,Money Transfer Plus,Financial Services,Dubai UAE,true,identity_theft,89
TXN000153,ACC50113,2025-11-08,13:15:12,1671.32,Digital Coin Trade,Cryptocurrency,Hong Kong,false,phishing_scam,88
TXN000154,ACC32919,2025-10-16,23:44:01,507.88,Retail Galaxy,Retail,Chicago IL USA,false,counterfeit_merchant,77
TXN000155,ACC70843,2025-11-09,12:24:31,1752.95,Jewel Paradise,Jewelry,Malta,false,stolen_card,99
TXN000156,ACC94496,2025-11-12,12:18:05,476.25,Precious Stones Co,Jewelry,Paris France,false,skimming_attack,97
TXN000157,ACC50060,2025-11-05,13:34:49,6403.42,Web Services Plus,Online Services,Sydney Australia,false,phishing_scam,94
TXN000158,ACC17053,2025-10-15,06:05:35,624.40,Digital Coin Trade,Cryptocurrency,Toronto Canada,false,phishing_scam,94
TXN000159,ACC71629,2025-10-18,07:45:38,1311.93,Subscription Services Pro,Online Services,Dubai UAE,false,wire_fraud,97
TXN000160,ACC33974,2025-10-15,11:36:34,4580.19,Luxury Fashion,Fashion,Rome Italy,false,friendly_fraud,73
TXN000161,ACC28025,2025-10-17,06:08:33,3741.09,Digital World,Electronics,Madrid Spain,false,chargeback_fraud,88
TXN000162,ACC20137,2025-11-08,08:16:17,1709.12,Cash Advance,Cash,Buenos Aires Argentina,false,friendly_fraud,89
TXN000163,ACC83527,2025-11-03,23:26:43,9094.86,SuperMart Online,Retail,Berlin Germany,false,friendly_fraud,87
TXN000164,ACC54705,2025-10-22,15:09:55,9919.11,Digital Platform,Online Services,Dubai UAE,false,friendly_fraud,86
TXN000165,ACC52412,2025-10-17,06:47:52,594.52,Money Withdrawal,Cash,Sydney Australia,false,synthetic_identity,95
TXN000166,ACC98276,2025-10-30,11:33:47,2997.74,Casino Royal,Gambling,Sydney Australia,false,card_testing,86
TXN000167,ACC82978,2025-11-10,09:54:13,1657.09,Cloud Services,Online Services,Singapore,false,stolen_card,96
TXN000168,ACC39068,2025-11-10,15:05:35,1579.90,Digital World,Electronics,So Paulo Brazil,false,friendly_fraud,89
TXN000169,ACC23123,2025-10-23,00:58:22,481.32,Electronics Express,Electronics,Seoul South Korea,false,account_takeover,86
TXN000170,ACC29372,2025-10-22,16:03:21,1176.49,Subscription Services Pro,Online Services,So Paulo Brazil,false,unauthorized_transaction,97
TXN000171,ACC32800,2025-11-05,13:22:24,4295.86,Gadget Store,Electronics,Lagos Nigeria,false,friendly_fraud,86
TXN000172,ACC49381,2025-10-18,10:51:57,169.68,Subscription Services Pro,Online Services,London UK,false,duplicate_location,90
TXN000173,ACC82944,2025-11-11,17:41:30,933.57,Bet Palace,Gambling,Tokyo Japan,false,friendly_fraud,88
TXN000174,ACC10984,2025-11-04,20:16:06,1658.29,Gold & Gems,Jewelry,Berlin Germany,false,counterfeit_merchant,90
TXN000175,ACC97540,2025-11-10,00:43:30,577.23,Crypto Exchange Max,Cryptocurrency,Istanbul Turkey,false,unauthorized_transaction,96
TXN000176,ACC30148,2025-11-04,13:42:09,1268.21,Travel Agency Pro,Travel,Dubai UAE,false,skimming_attack,98
TXN000177,ACC44803,2025-11-05,20:58:24,1432.70,Money Withdrawal,Cash,Singapore,false,skimming_attack,89
TXN000178,ACC60471,2025-10-22,05:57:07,341.94,Diamond Gallery,Jewelry,So Paulo Brazil,false,chargeback_fraud,91
TXN000179,ACC20354,2025-10-26,12:16:31,4763.76,ATM Withdrawal,Cash,Malta,false,stolen_card,97
TXN000180,ACC53416,2025-10-24,22:46:59,570.94,Digital World,Electronics,Houston TX USA,false,synthetic_identity,91
TXN000181,ACC41573,2025-10-20,02:57:14,726.36,Tech Haven,Electronics,So Paulo Brazil,true,wire_fraud,94
TXN000182,ACC93824,2025-10-24,02:11:30,1912.05,Global Payments,Financial Services,Istanbul Turkey,false,stolen_card,74
TXN000183,ACC61297,2025-10-18,20:26:13,1851.95,Finance Direct,Financial Services,Mexico City Mexico,false,counterfeit_merchant,96
TXN000184,ACC80526,2025-10-29,12:37:47,365.64,Trendy Wear,Fashion,Sydney Australia,false,wire_fraud,97
TXN000185,ACC53963,2025-10-18,00:44:33,1129.51,Cash Advance,Cash,Chicago IL USA,false,phishing_scam,86
TXN000186,ACC70283,2025-10-22,13:36:51,994.01,International Wire Transfer,Financial Services,Seoul South Korea,false,account_takeover,76
TXN000187,ACC49948,2025-10-16,02:06:54,945.04,Bet Palace,Gambling,Rome Italy,false,card_not_present,91
TXN000188,ACC26855,2025-11-01,13:00:48,1495.74,Gold & Gems,Jewelry,Rome Italy,false,duplicate_location,92
TXN000189,ACC93069,2025-10-15,22:03:34,7056.64,Electronics Express,Electronics,New York NY USA,false,account_takeover,86
TXN000190,ACC66172,2025-10-31,22:09:58,1239.87,Cloud Services,Online Services,Moscow Russia,true,stolen_card,98
TXN000191,ACC48891,2025-10-26,16:15:57,1542.96,Bitcoin Hub,Cryptocurrency,Malta,false,card_testing,89
TXN000192,ACC38287,2025-10-15,17:52:46,932.59,Digital Platform,Online Services,Los Angeles CA USA,false,synthetic_identity,96
TXN000193,ACC52909,2025-11-12,06:43:33,8874.61,International Wire Transfer,Financial Services,New York NY USA,false,identity_theft,88
TXN000194,ACC57555,2025-11-12,10:53:42,1028.63,Style Boutique,Fashion,Nairobi Kenya,false,chargeback_fraud,88
TXN000195,ACC75688,2025-11-10,10:43:52,1764.21,Hotel Booking Express,Travel,Houston TX USA,false,recurring_fraud,91
TXN000196,ACC31740,2025-11-02,14:29:37,4926.95,Money Withdrawal,Cash,Dubai UAE,false,card_not_present,85
TXN000197,ACC86140,2025-11-02,18:35:04,4913.84,Luxury Fashion,Fashion,Istanbul Turkey,true,friendly_fraud,93
TXN000198,ACC77545,2025-10-31,05:19:03,1092.78,Subscription Services Pro,Online Services,Mexico City Mexico,false,account_takeover,91
TXN000199,ACC30715,2025-11-13,04:50:24,5407.46,Retail Galaxy,Retail,Berlin Germany,false,phishing_scam,85
TXN000200,ACC76964,2025-11-09,02:07:04,1241.86,Airline Tickets Global,Travel,Tokyo Japan,false,account_takeover,99
TXN000201,ACC67276,2025-11-07,19:40:13,1711.73,Global Payments,Financial Services,Buenos Aires Argentina,false,stolen_card,85
TXN000202,ACC84862,2025-11-12,01:04:48,2287.24,Luxury Watches Ltd,Jewelry,New York NY USA,false,phishing_scam,97
TXN000203,ACC63408,2025-11-07,15:05:41,1817.36,Lucky Games Online,Gambling,Hong Kong,false,recurring_fraud,87
TXN000204,ACC70188,2025-11-13,12:46:39,389.79,Jewel Paradise,Jewelry,Mexico City Mexico,false,card_testing,90
TXN000205,ACC40256,2025-11-14,20:38:53,8269.56,Trendy Wear,Fashion,Lagos Nigeria,false,card_not_present,88
TXN000206,ACC55140,2025-11-11,16:19:57,670.99,Airline Tickets Global,Travel,Malta,false,friendly_fraud,91
TXN000207,ACC81580,2025-11-09,18:20:39,142.97,Retail Galaxy,Retail,Cairo Egypt,true,chargeback_fraud,90
TXN000208,ACC33342,2025-11-06,09:51:49,9470.72,Cash Advance,Cash,Dubai UAE,false,account_takeover,87
TXN000209,ACC95161,2025-10-29,21:48:02,488.85,Crypto Market Pro,Cryptocurrency,Tokyo Japan,false,wire_fraud,90
TXN000210,ACC81724,2025-10-24,01:25:35,899.91,Luxury Fashion,Fashion,Toronto Canada,true,skimming_attack,92
TXN000211,ACC49499,2025-11-07,10:56:14,709.11,Crypto Market Pro,Cryptocurrency,Beijing China,false,synthetic_identity,89
TXN000212,ACC30885,2025-10-19,15:21:37,1851.13,Web Services Plus,Online Services,So Paulo Brazil,false,recurring_fraud,92
TXN000213,ACC12124,2025-10-30,01:56:10,1842.73,Luxury Watches Ltd,Jewelry,Rome Italy,false,friendly_fraud,95
TXN000214,ACC90783,2025-10-27,13:04:54,164.15,Money Transfer Plus,Financial Services,Madrid Spain,false,wire_fraud,89
TXN000215,ACC88162,2025-11-04,13:22:03,488.15,Web Services Plus,Online Services,Istanbul Turkey,false,card_testing,88
TXN000216,ACC71547,2025-10-24,08:46:20,447.11,Casino Royal,Gambling,Istanbul Turkey,false,skimming_attack,97
TXN000217,ACC98226,2025-11-08,09:51:52,661.06,Airline Tickets Global,Travel,Seoul South Korea,false,account_takeover,86
TXN000218,ACC22622,2025-10-26,22:07:43,7079.36,Digital Platform,Online Services,Tokyo Japan,false,synthetic_identity,93
TXN000219,ACC30350,2025-10-26,13:43:53,9144.87,Money Transfer Plus,Financial Services,Chicago IL USA,false,counterfeit_merchant,87
TXN000220,ACC89079,2025-11-02,10:14:16,1480.04,Retail Galaxy,Retail,Istanbul Turkey,false,card_not_present,86
TXN000221,ACC76537,2025-11-07,20:37:34,262.70,Hotel Booking Express,Travel,Cairo Egypt,false,wire_fraud,85
TXN000222,ACC66743,2025-11-09,08:07:29,485.25,Casino Royal,Gambling,Rome Italy,false,duplicate_location,97
